SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  117.48,  219.61,  419.83,  377.33,  537.31,  596.94,2132555551, 1134.25,  256.80,    2.78,  262.19,    6.12,  518.99,    8.90,2132569250,  527.89,   1056.30,    605.84,   1662.14
  117.18,  218.69,  419.67,  376.40,  536.85,  595.09,2134616379, 1131.93,  260.04,    3.53,  265.64,    6.86,  525.68,   10.39,2134558057,  536.07,   1062.52,    605.48,   1668.00
  123.29,  230.86,  435.31,  393.04,  558.60,  623.91,2132527191, 1182.51,  305.51,   20.97,  309.11,   24.37,  614.62,   45.34,2132656172,  659.97,   1173.23,    669.25,   1842.48
  114.29,  217.95,  409.33,  372.57,  523.63,  590.51,2134749489, 1114.14,  273.55,    3.94,  277.47,    7.31,  551.03,   11.25,2134673088,  562.28,   1074.66,    601.77,   1676.42
  113.87,  217.93,  408.03,  372.03,  521.90,  589.96,2132570881, 1111.86,  259.64,    2.25,  263.45,    5.60,  523.09,    7.84,2132563125,  530.94,   1044.99,    597.81,   1642.80
  112.83,  215.84,  404.95,  368.84,  517.78,  584.68,2132489651, 1102.46,  256.41,    2.47,  260.26,    5.81,  516.67,    8.29,2132476207,  524.95,   1034.45,    592.97,   1627.42
  113.65,  217.12,  406.58,  370.68,  520.23,  587.80,2134642347, 1108.03,  260.07,    3.45,  262.99,    6.77,  523.07,   10.22,2134686528,  533.28,   1043.30,    598.02,   1641.31
  112.97,  215.65,  405.00,  369.18,  517.96,  584.84,2132548120, 1102.80,  262.78,    2.91,  265.64,    6.24,  528.42,    9.15,2132517675,  537.58,   1046.38,    593.99,   1640.38
  113.44,  209.63,  407.88,  363.70,  521.31,  573.33,2132501900, 1094.65,  253.59,    3.34,  256.72,    6.64,  510.31,    9.98,2132477724,  520.29,   1031.63,    583.31,   1614.94
  112.68,  203.46,  406.39,  356.98,  519.07,  560.44,2134608320, 1079.51,  242.24,    2.27,  245.24,    5.60,  487.48,    7.87,2134612618,  495.36,   1006.55,    568.31,   1574.86
