skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
12719014,3982566,1890742,129765776,8389542,0,764428,2352,700420,58226,657566,4221000,140,736722,12716662,3282146,1832516,129108210,4168542,0,27706,11140458,131040,4284602,10695216,14,29218,173474,6640256,0,14294,17304,0,28882,168364,4500202,131040,4270308,10677912,14,336,5110
12748246,3933230,1683724,129756732,8394008,0,767242,1918,704074,6692,673232,4190914,140,735448,12746328,3229156,1677032,129083500,4203094,0,31794,11142642,130382,4462052,10987830,14,29064,173264,6531126,0,3416,24696,0,29008,169834,4611516,130382,4458636,10963134,14,56,3430
12712532,3093412,6071884,116658766,8404970,0,748482,1988,682626,330694,2312912,5348392,140,728252,12710544,2410786,5741190,114345854,3056578,0,20230,11113984,129570,6650392,11195492,14,28896,173250,6556592,0,15722,689948,0,29162,167860,4557392,129570,6634670,10505544,14,0,5390
12600294,3924116,1571010,127716232,8462314,0,763196,2002,824432,8582,652960,4219530,140,727720,12598292,3099684,1562428,127063272,4242784,0,35476,11077444,129304,4276118,10901170,14,28966,172536,7012838,0,8540,24444,0,28980,168196,4064606,129304,4267578,10876726,14,0,4340
12489554,3925530,1979488,128650368,8472716,0,756798,2730,795060,6622,655704,4179854,140,726152,12486824,3130470,1972866,127994664,4292862,0,30646,10989496,129612,4393298,11155172,0,29148,170940,6783952,0,350,57694,14,29008,168770,4205544,129612,4392948,11097478,0,140,2170
12601778,3926510,1727810,129074428,8466920,0,765492,1988,759738,13874,681856,4192986,140,735672,12599790,3166772,1713936,128392572,4273934,0,29820,11070780,130172,4270882,11032070,0,29120,173068,6736380,0,6720,67928,14,28840,169274,4334400,130172,4264162,10964142,0,280,3794
12631206,3925642,1752156,130407662,8455944,0,752766,2254,745990,284102,671496,4173750,140,740446,12628952,3179652,1468054,129736166,4282194,0,12320,11099032,129836,4392402,11033288,0,29078,171416,6636168,0,868,27188,14,28728,170296,4462864,129836,4391534,11006100,0,350,1120
12633992,3927084,1633114,130415656,8449420,0,755412,1484,722554,18592,659610,4157930,224,741874,12632508,3204530,1614522,129756046,4291490,0,13538,11095378,129598,4315710,11124960,0,29064,171346,6561674,0,2576,27594,14,29022,170184,4533704,129598,4313134,11097366,0,42,1162
12612432,3939166,1656312,130959234,8462328,0,760340,1764,724808,10696,683018,4189640,140,743960,12610668,3214358,1645616,130276216,4272688,0,16380,11083478,130102,4382448,11269300,0,28924,172186,6518722,0,56,29652,14,28812,170772,4564756,130102,4382392,11239648,0,112,1414
12618256,3907484,1758344,130870782,8440040,140,752626,1148,721294,57218,736722,4116420,140,764386,12617108,3186190,1701126,130134060,4323620,0,0,11099760,128702,4614946,10788820,0,28784,173824,6493130,0,2758,76258,14,28924,173026,4606630,128702,4612188,10712562,0,0,798
12626950,3915786,1520554,131722276,8440264,140,758870,1204,700266,21574,754684,4162004,140,760172,12625746,3215520,1498980,130967592,4278260,0,0,11093964,129150,4310376,10954146,0,28770,170870,6563228,0,2646,313922,14,28770,172004,4530736,129150,4307730,10640224,0,0,0
12662034,3925026,1581860,132563032,2089990,140,306908,1176,706860,59654,748986,1952888,140,310814,12660858,3218166,1522206,131814046,137102,0,0,11126472,129388,4443712,11466770,0,7238,43022,6587112,0,2506,101668,14,7252,42784,4539360,129388,4441206,11365102,0,0,238
3332336,1217958,1463728,51165968,2102492,224,290864,490,224266,8036,594972,1204742,0,283976,3331846,993692,1455692,50570996,897750,224,6888,2742502,32704,4409552,6046894,0,7294,42504,1667806,0,2324,65296,14,7294,43484,1074696,32704,4407228,5981598,0,0,0
3320954,1257900,1656830,51126474,2093238,140,300538,364,339290,77196,597198,1241660,0,304724,3320590,918610,1579634,50529276,851578,140,0,2740626,33292,4648672,5487874,0,7294,42896,1873368,0,2814,283458,14,7266,42882,867258,33292,4645858,5204416,0,28,14
3329060,1244362,1456112,50884022,2092524,140,305354,168,334544,6090,565740,1212666,0,306782,3328892,909818,1450022,50318282,879858,140,0,2744000,32690,4425288,5633446,0,7238,43162,1795038,0,2086,90832,14,7238,43232,948962,32690,4423202,5542614,0,0,0
3341030,1253630,1426628,51370074,2094316,140,300230,42,330358,38318,547414,1205512,0,304794,3340988,923272,1388310,50822660,888804,140,0,2745036,33516,4357346,5440932,0,7252,42574,1760864,0,2548,52374,14,7238,42672,984172,33516,4354798,5388558,0,14,0
3319372,1249710,1432522,50507632,2094148,140,304570,112,331618,8218,565670,1198582,0,305774,3319260,918092,1424304,49941962,895566,140,0,2740696,32900,4352320,5715794,0,7266,42966,1776054,0,2394,51226,14,7252,42952,964642,32900,4349926,5664568,0,14,14
3329956,1253658,1585416,51008678,2091502,140,305200,28,326886,37996,546392,1190980,0,306390,3329928,926772,1547420,50462286,900522,140,0,2742194,33068,4531618,5758606,0,7224,43204,1749048,0,2450,47712,0,7238,42994,993146,33068,4529168,5710894,0,0,210
3321150,1251838,1445780,50573908,2094036,140,299236,70,332584,6146,556080,1196104,0,305452,3321080,919254,1439634,50017828,897932,140,0,2741466,33432,4349912,5760244,0,7196,42308,1727320,0,2030,42560,0,7238,42742,1014146,33432,4347882,5717684,0,0,0
3321878,1243676,1463336,50265320,2095814,140,302036,42,322910,40474,550564,1201536,0,306628,3321836,920766,1422862,49714756,894278,140,0,2739590,33222,4363856,5727106,0,7126,42714,1716582,0,2450,46914,0,7252,43120,1023008,33222,4361406,5680192,0,0,0
3326610,1255716,1505742,51173206,2092356,112,305466,182,324758,8960,567742,1203720,0,301784,3326428,930958,1496782,50605464,888636,112,3682,2741396,33012,4439806,5752992,0,7266,42672,1710492,0,2198,37422,0,7322,42658,1030904,33012,4437608,5715570,0,0,14
3332518,1246000,1567930,50698802,2090354,140,306894,98,321468,43442,534912,1213576,0,301196,3332420,924532,1524488,50163890,876778,140,5698,2742026,32704,4442368,6148800,0,7294,42826,1694966,0,2926,37618,0,7238,42490,1047060,32704,4439442,6111182,0,56,336
3328472,1248170,1525412,50422512,2089934,140,257194,98,324394,9464,563444,1197014,0,257390,3328374,923776,1515948,49859068,892920,140,0,2742348,33180,4366110,6023556,0,7252,42406,1730512,0,2254,40880,0,7252,43036,1011836,33180,4363856,5982676,0,0,0
3324944,1249374,1743518,50589882,2089780,140,308042,364,356538,7770,563220,1230418,0,301322,3324580,892836,1735748,50026662,859362,140,6720,2739604,32998,4398044,5995962,0,7238,43246,1897182,0,2436,242914,0,7154,42714,842422,32998,4395608,5753048,0,84,532
3326582,1245790,1561798,50667526,2088016,0,307776,1302,349944,1512,539168,1200472,140,306628,3325280,895846,1560286,50128358,887544,0,1148,2741578,33012,4415684,5798338,0,7308,43624,1806154,0,42,50554,0,7210,43568,935424,33012,4415642,5747784,0,98,56
3340078,1237138,2102912,50185282,2087876,0,304864,42,347284,21630,481138,1202936,140,300048,3340036,889854,2081282,49704144,884940,0,4816,2743090,32438,4992526,5805492,0,7182,42686,1761438,0,1876,20314,0,7168,42756,981652,32438,4990650,5785178,0,14,0
3332154,1241744,1975974,50531670,2092902,0,303968,168,346612,1456,474642,1213212,112,299754,3331986,895132,1974518,50057028,879690,0,4214,2742656,33152,5005000,6226612,0,7294,42728,1741474,0,0,28028,0,7168,44814,1001182,33152,5005000,6198584,0,126,0
3324846,1241492,2076144,50474326,2084250,0,304738,84,340830,1050,472444,1195726,140,303688,3324762,900662,2075094,50001882,888524,0,1050,2741396,32928,5000534,6251252,0,7266,42938,1742160,0,14,25802,0,7322,42798,999236,32928,5000520,6225450,0,0,140
3328794,1249668,1948324,50731842,2088576,0,305214,14,334586,1442,474838,1211224,140,301504,3328780,915082,1946882,50257004,877352,0,3710,2741004,33320,4987948,5679954,0,7280,42924,1734712,0,14,26796,0,7210,42714,1006292,33320,4987934,5653158,0,70,210
3333078,1233302,2065126,50699614,2093280,0,305088,154,338716,8680,482804,1205260,140,303492,3332924,894586,2056446,50216810,888020,0,1596,2740990,32956,5052698,5820444,0,7238,42966,1725654,0,742,17514,0,7686,43204,1015336,32956,5051956,5802930,0,0,0
3321192,1236396,1977276,50452878,2085930,0,304150,126,331072,1428,478674,1209292,140,302890,3321066,905324,1975848,49974204,876638,0,1260,2740010,32914,4969076,5800144,0,7364,42840,1711234,0,70,20524,0,7700,42910,1028776,32914,4969006,5779620,0,0,0
