,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-09-18,11:58:57.134,  167.85,  377.72,  620.00,  596.33,,,,,  787.84,  974.05,    106597, 1761.89,  312.99,    5.04,  307.99,    1.65,,,,,  620.98,    6.69,     54118,  627.67,   1408.82,    980.73,   2389.55
2023-09-18,11:58:58.134,  167.87,  375.40,  619.62,  593.84,,,,,  787.49,  969.25,    106599, 1756.74,  308.14,    4.48,  302.80,    1.09,,,,,  610.94,    5.57,     53803,  616.52,   1398.44,    974.82,   2373.25
2023-09-18,11:58:59.135,  167.92,  377.74,  619.94,  596.34,,,,,  787.86,  974.08,    106765, 1761.94,  254.93,    5.00,  249.07,    1.60,,,,,  503.99,    6.60,     53747,  510.59,   1291.85,    980.68,   2272.54
2023-09-18,11:59:00.135,  122.34,  473.46,  458.99,  643.28,,,,,  581.33, 1116.74,    105983, 1698.07,  261.72,   10.38,  257.36,    6.94,,,,,  519.08,   17.32,     53705,  536.40,   1100.42,   1134.06,   2234.48
2023-09-18,11:59:01.136,  160.66,  402.84,  595.73,  614.15,,,,,  756.39, 1016.99,    106446, 1773.38,  259.50,    4.91,  255.35,    1.52,,,,,  514.86,    6.42,     53778,  521.28,   1271.25,   1023.42,   2294.66
2023-09-18,11:59:02.135,  168.17,  375.10,  620.37,  593.73,,,,,  788.54,  968.83,    106564, 1757.37,  252.68,    4.95,  248.67,    1.58,,,,,  501.35,    6.54,     53711,  507.89,   1289.89,    975.37,   2265.26
2023-09-18,11:59:03.136,  167.67,  378.34,  620.12,  596.93,,,,,  787.79,  975.27,    106694, 1763.07,  250.45,    4.93,  246.78,    1.52,,,,,  497.23,    6.46,     53539,  503.69,   1285.02,    981.73,   2266.75
2023-09-18,11:59:04.136,  170.00,  359.45,  624.04,  578.67,,,,,  794.04,  938.12,    106539, 1732.15,  288.82,   24.27,  283.57,   20.67,,,,,  572.38,   44.93,     53823,  617.32,   1366.42,    983.05,   2349.47
2023-09-18,11:59:05.136,  168.47,  376.32,  620.31,  594.88,,,,,  788.78,  971.19,    106481, 1759.98,  271.32,    7.71,  266.94,    4.31,,,,,  538.26,   12.03,     53730,  550.29,   1327.05,    983.22,   2310.27
2023-09-18,11:59:06.136,  168.45,  376.49,  620.93,  595.32,,,,,  789.38,  971.81,    106680, 1761.19,  260.40,    5.34,  257.25,    1.94,,,,,  517.65,    7.28,     53732,  524.92,   1307.03,    979.08,   2286.11
2023-09-18,11:59:07.137,  167.81,  378.74,  619.53,  597.21,,,,,  787.33,  975.95,    106671, 1763.28,  251.46,    4.66,  248.19,    1.27,,,,,  499.65,    5.93,     53582,  505.57,   1286.98,    981.88,   2268.86
2023-09-18,11:59:08.136,  167.99,  377.63,  620.34,  596.37,,,,,  788.32,  974.00,    106815, 1762.32,  250.34,    5.26,  246.91,    1.88,,,,,  497.25,    7.15,     53770,  504.39,   1285.57,    981.14,   2266.71
2023-09-18,11:59:09.137,  167.60,  378.11,  619.56,  596.72,,,,,  787.15,  974.83,    106628, 1761.99,  263.49,    4.60,  259.42,    1.21,,,,,  522.91,    5.81,     53794,  528.72,   1310.06,    980.65,   2290.71
2023-09-18,11:59:10.136,  123.41,  369.95,  459.87,  535.11,,,,,  583.28,  905.06,    106115, 1488.35,  277.89,    8.78,  273.38,    5.37,,,,,  551.27,   14.15,     53729,  565.42,   1134.55,    919.21,   2053.76
2023-09-18,11:59:11.137,   29.85,  326.34,  118.41,  370.55,,,,,  148.26,  696.89,    105267,  845.15,  280.67,    5.12,  276.85,    1.74,,,,,  557.52,    6.86,     53767,  564.38,    705.79,    703.75,   1409.53
2023-09-18,11:59:12.136,   29.10,  323.35,  115.79,  366.18,,,,,  144.89,  689.53,    105156,  834.42,  272.55,    4.66,  268.62,    1.27,,,,,  541.17,    5.93,     53812,  547.10,    686.06,    695.46,   1381.52
2023-09-18,11:59:13.136,   28.11,  323.54,  111.71,  364.92,,,,,  139.82,  688.46,    105127,  828.28,  268.47,    4.40,  263.00,    1.05,,,,,  531.47,    5.45,     53758,  536.92,    671.29,    693.91,   1365.20
2023-09-18,11:59:14.138,   48.78,  328.61,  189.83,  398.54,,,,,  238.61,  727.15,    105350,  965.76,  285.62,   12.79,  279.53,    9.30,,,,,  565.15,   22.10,     53918,  587.24,    803.76,    749.25,   1553.00
