Unnamed: 0,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads
20,2113.3721714412,1843.2315771351,15000.0,9766407283.0,9508130103.0,10335467804.0,10657839874.0,1905295199.0,1880884608.0,2041233400.0,2107208184.0,7079968.0,7602662.0,7753275.0,7925304.0,7084593.0,7601217.0,7753661.0,7867244.0,3217.0,3007.0,3069.0,2929.0,4570758.0,10917774.0,5189821.0,5167459.0,2891765174.0,2891748776.0,2891921163.0,2891783777.0,4699696.0,11339733.0,5377237.0,5410383.0,3006724330.0,2927500001.0,3189942211.0,3287306883.0,1888.0,1738.0,1638.0,2616.0,1273714.0,4412988.0,1572714.0,1767858.0,3321981.0,6386566.0,3456441.0,3391896.0
21,2112.9451679363,1824.3054316698,7.894,9656889670.0,9394372958.0,10219075991.0,10536129786.0,1890692149.0,1865903840.0,2025601206.0,2090552973.0,6814821.0,7695739.0,7706867.0,7875438.0,6817052.0,7691477.0,7711836.0,7886628.0,2611.0,2583.0,2990.0,3436.0,4625504.0,10934496.0,5176013.0,5168885.0,2891772041.0,2891665138.0,2891699772.0,2891707176.0,4684196.0,11425581.0,5400584.0,5460588.0,3026557000.0,2947410475.0,3212987687.0,3309926694.0,1688.0,1888.0,1875.0,1663.0,1241721.0,4532990.0,1611695.0,1772032.0,3296578.0,6407746.0,3542751.0,3408117.0
22,2113.1011398966,1841.6304387615,15000.0,9775554712.0,9504665678.0,10356505725.0,10674522293.0,1907358915.0,1881715491.0,2043003703.0,2109723019.0,6862669.0,7611835.0,7761243.0,7932359.0,6863612.0,7608907.0,7763336.0,7976651.0,3302.0,3483.0,2511.0,2310.0,4648812.0,11034071.0,5249895.0,5214218.0,2891558678.0,2891509318.0,2891565451.0,2891808968.0,4647605.0,11431208.0,5418410.0,5420585.0,3005741077.0,2924892178.0,3208285875.0,3286322899.0,1917.0,1723.0,1556.0,2307.0,1236009.0,4442633.0,1612234.0,1736392.0,3247707.0,6295909.0,3510062.0,3373305.0
23,2113.027961817,1836.0688285242,9214.563,9654242987.0,9387655439.0,10448404077.0,10540443411.0,1889616870.0,1864485488.0,2024379244.0,2091210012.0,6810161.0,7560817.0,7834174.0,7872242.0,6810867.0,7562767.0,7837555.0,7873731.0,3190.0,2640.0,2545.0,2562.0,4641307.0,10835262.0,5212880.0,5148957.0,2891645859.0,2891879592.0,2892038711.0,2891871287.0,4681697.0,11385580.0,5375415.0,5418513.0,3011517175.0,2929949736.0,3192674269.0,3291718840.0,1788.0,1663.0,2868.0,1775.0,1258718.0,4497549.0,1613093.0,1756167.0,3269764.0,6381869.0,3527945.0,3419333.0
24,2113.1452352862,1830.6520895032,15000.0,9674646530.0,9421135521.0,10463054245.0,10559003346.0,1891036177.0,1867236838.0,2030791440.0,2093140156.0,6812998.0,7554704.0,7722393.0,7881102.0,6815039.0,7556898.0,7721177.0,7880668.0,2961.0,2606.0,2551.0,2211.0,4649814.0,11005311.0,5258152.0,5191499.0,2891589820.0,2891652468.0,2891885347.0,2891762329.0,4678758.0,11385951.0,5411459.0,5429231.0,3044857678.0,2967629227.0,3214617783.0,3310988675.0,1792.0,2810.0,2592.0,2655.0,1358490.0,4577787.0,1618459.0,1725955.0,3266565.0,6281177.0,3557063.0,3337899.0
25,2113.1408362491,1841.9970604364,1350.461,9859270556.0,9600752363.0,10461058744.0,10666843570.0,1904429853.0,1880828073.0,2058938036.0,2109310632.0,7043618.0,7610071.0,7775885.0,7931497.0,7047813.0,7609530.0,7776158.0,7934138.0,2902.0,2434.0,2792.0,2632.0,4543060.0,11076234.0,5213549.0,5167636.0,2891772102.0,2891650607.0,2891927874.0,2891784108.0,4742171.0,11351272.0,5381365.0,5402991.0,3004696584.0,2927272278.0,3188090021.0,3288437926.0,1663.0,1835.0,3143.0,2448.0,1280922.0,4552050.0,1592218.0,1743134.0,3305107.0,6288751.0,3562012.0,3301453.0
26,2112.7849851794,1830.8984100991,13.35,9793420709.0,9644129796.0,10437150252.0,10472616218.0,1870275050.0,1871569133.0,2054596328.0,2079690813.0,6760303.0,7520694.0,7879333.0,7836827.0,6765512.0,7528767.0,7883226.0,7845529.0,7663.0,12529.0,5752.0,6728.0,4250439.0,10142503.0,4798121.0,4840014.0,2891598432.0,2891202294.0,2891166051.0,2891427140.0,4378820.0,10442027.0,5051703.0,5078171.0,2979534401.0,2949452659.0,3185556018.0,3302336207.0,3124.0,11420.0,4139.0,5577.0,1266483.0,4238321.0,1534134.0,1672737.0,3093977.0,5923090.0,3307044.0,3136672.0
27,2113.1101655164,1830.4188019183,15000.0,9875271682.0,9623440891.0,10441458895.0,10690062134.0,1909363136.0,1886160493.0,2056701687.0,2111993536.0,6865113.0,7619853.0,7757970.0,7936699.0,6865067.0,7616848.0,7763928.0,7936613.0,2526.0,2471.0,2446.0,2166.0,4640950.0,11090759.0,5223063.0,5240369.0,2891922293.0,2891852024.0,2891558935.0,2891864430.0,4699261.0,11437527.0,5426878.0,5444249.0,3025104963.0,2945614042.0,3211157681.0,3307542766.0,2598.0,2265.0,2861.0,1709.0,1218947.0,4592247.0,1613618.0,1768004.0,3253972.0,6389328.0,3579804.0,3287620.0
28,2112.8855028971,1841.6181334029,15000.0,9876001722.0,9612464122.0,10337095949.0,10774790138.0,1921465067.0,1896841356.0,2041827745.0,2090153174.0,6809155.0,7650351.0,7754141.0,7870317.0,6809284.0,7650397.0,7703890.0,7871532.0,3084.0,2567.0,3134.0,2673.0,4639608.0,10877390.0,5178346.0,5207840.0,2891819129.0,2891732539.0,2891810219.0,2891914753.0,4615841.0,11348570.0,5388155.0,5415952.0,3006441239.0,2927011875.0,3189624448.0,3288745913.0,2788.0,2738.0,1955.0,1807.0,1246271.0,4560646.0,1625470.0,1757309.0,3233439.0,6335345.0,3530788.0,3309982.0
29,2112.753553498,1831.3011249251,15000.0,9870022617.0,9603042156.0,10236783050.0,10775534388.0,1920729209.0,1895439310.0,2027146973.0,2095247518.0,6823365.0,7569377.0,7711263.0,7877754.0,6822026.0,7567328.0,7857525.0,7880313.0,2771.0,2351.0,2451.0,2496.0,4615995.0,10919746.0,5168317.0,5226191.0,2891590430.0,2891611551.0,2891658225.0,2891860095.0,4710246.0,11443263.0,5423542.0,5453115.0,3024966459.0,2944523190.0,3209284284.0,3307445854.0,2237.0,2450.0,1700.0,2063.0,1351307.0,4575199.0,1597225.0,1780897.0,3321953.0,6411784.0,3557573.0,3383273.0
30,2113.1883301813,1836.60734344,15000.0,9859034103.0,9598721269.0,10339502460.0,10778437885.0,1919606747.0,1895548832.0,2042313312.0,2124571219.0,6901088.0,7658216.0,7758303.0,7929353.0,6993358.0,7614618.0,7809817.0,7929197.0,2547.0,2215.0,2233.0,2326.0,4523468.0,11008514.0,5216362.0,5202621.0,2891384562.0,2891551569.0,2891587457.0,2891571511.0,4749397.0,11377876.0,5383686.0,5398444.0,3003536600.0,2926131310.0,3187065623.0,3284422466.0,2334.0,2459.0,2195.0,2542.0,1328594.0,4609118.0,1576421.0,1781368.0,3336382.0,6449276.0,3586778.0,3409178.0
