,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads,bridge_mem-stores,bridge_iTLB-loads,bridge_mem-loads,bridge_bus-cycles
3377,6060.8836394133,2297.7219251421,5.325,5223479463.0,1027202690.0,4565346.0,4553918.0,2737.0,12033940.0,1818300035.0,12761295.0,1561283658.0,1353.0,5165245.0,7014628.0,0.0,100.0,0.0,69936933.0
3378,5501.4968141395,2098.1202506434,5.328,7639685049.0,1506522544.0,6509433.0,7056964.0,805.0,15585805.0,2592396001.0,15842935.0,2363219652.0,575.0,6577874.0,9143000.0,0.0,93.0,0.0,99706408.0
3379,2213.7999296598,2213.8043047822,6.167,7650267743.0,1507820752.0,6507833.0,6698237.0,355.0,15676797.0,2592529190.0,15853638.0,2347586540.0,402.0,6540137.0,9146481.0,0.0,117.0,0.0,99711354.0
3380,2213.840553347,2213.8363543211,7.385,7568782162.0,1495656348.0,6474505.0,6511339.0,361.0,15625188.0,2592575483.0,15847582.0,2349798836.0,213.0,6506267.0,9104970.0,0.0,67.0,0.0,99711945.0
3381,2213.835858021,2213.8389898116,6.234,7604839842.0,1500846555.0,6619659.0,6621062.0,365.0,15684295.0,2592459022.0,15883218.0,2360217897.0,1002.0,6479233.0,9158241.0,0.0,194.0,0.0,99707621.0
3382,2214.2110732765,2214.2124211924,6.63,7643216887.0,1506223795.0,6511629.0,6511808.0,442.0,15636741.0,2592417776.0,15920516.0,2347153573.0,394.0,6477566.0,8982008.0,0.0,58.0,0.0,99711894.0
3383,2214.0565449703,2214.0546266804,5.488,7580494416.0,1497312560.0,6469909.0,6470839.0,719.0,15636148.0,2592574909.0,15895546.0,2359524661.0,225.0,6564473.0,9072535.0,0.0,71.0,0.0,99709004.0
3384,2214.537198533,2214.5372417937,6.845,7647172450.0,1506528175.0,6687663.0,6689487.0,200.0,15657993.0,2592557674.0,15856029.0,2351324316.0,375.0,6512345.0,8975112.0,0.0,0.0,0.0,99712491.0
3385,2214.516361104,2214.5164329644,6.355,7597339253.0,1498857441.0,7037695.0,7051793.0,345.0,15658326.0,2592540305.0,15874220.0,2357547229.0,313.0,6596467.0,9086485.0,0.0,142.0,0.0,99711729.0
3386,2213.0721851931,2213.0717935882,5.488,7652070103.0,1489997048.0,6439668.0,6419605.0,1310.0,14917136.0,2591885874.0,14718628.0,2361969257.0,813.0,6270745.0,8169407.0,0.0,435.0,0.0,99701432.0
3387,2214.083732626,2214.083916338,6.691,8782800079.0,1720071848.0,6802529.0,6803028.0,655.0,9546298.0,2592626961.0,9799002.0,2669621805.0,614.0,4149442.0,5986072.0,0.0,167.0,0.0,99708593.0
3388,2049.9270580446,2015.9651370369,5.412,9237499753.0,1809002912.0,6892183.0,6893037.0,478.0,6991149.0,2592593019.0,7015398.0,2828767836.0,538.0,2867541.0,4053602.0,0.0,0.0,0.0,99714448.0
3389,997.27351770864,997.27364626865,6.109,9236759241.0,1818541172.0,7159806.0,7160225.0,420.0,6959096.0,2592577126.0,7048251.0,2841216760.0,597.0,2887943.0,4073549.0,0.0,65.0,0.0,99714181.0
3390,997.27309802973,997.27303135662,5.273,9241176454.0,1819005250.0,6900760.0,6899519.0,696.0,6941586.0,2592624708.0,7006709.0,2827215404.0,638.0,2870560.0,4081622.0,0.0,50.0,0.0,99717775.0
3391,997.27301397623,997.27340582909,5.251,9163140334.0,1807670654.0,6921991.0,7214247.0,797.0,6854272.0,2592608081.0,6981877.0,2841330768.0,450.0,2877873.0,4064959.0,0.0,93.0,0.0,99714951.0
3392,997.27319767393,997.27102266404,6.332,9175061887.0,1809635956.0,7214150.0,6926814.0,390.0,6956954.0,2592641400.0,7020340.0,2827533845.0,401.0,2865833.0,4066928.0,0.0,92.0,0.0,99715712.0
3393,997.27300608171,997.27544045051,6.499,9101026647.0,1798547219.0,7203104.0,6926724.0,445.0,6863101.0,2592660299.0,6977191.0,2827679051.0,275.0,2848203.0,4045003.0,0.0,75.0,0.0,99717029.0
3394,997.27352885345,997.27283075963,7.354,9112489951.0,1800791331.0,6897514.0,6898392.0,415.0,6902948.0,2592642455.0,7026654.0,2842293015.0,288.0,2840368.0,4091208.0,0.0,93.0,0.0,99715852.0
3395,997.27329008627,997.27322737781,5.036,9175152725.0,1809783863.0,7276941.0,7277315.0,590.0,6925065.0,2592447898.0,7007065.0,2827430217.0,181.0,2838480.0,4015418.0,0.0,100.0,0.0,99708021.0
3396,997.27288971937,997.27362802919,17.462,9110790459.0,1800482157.0,7248653.0,7249290.0,1107.0,6906429.0,2592731669.0,7017198.0,2841409012.0,400.0,2846124.0,4026220.0,0.0,290.0,0.0,99722182.0
3397,997.27314519859,997.27295082002,14.928,4771486567.0,903179050.0,4278241.0,4290049.0,7722.0,7996176.0,1640700652.0,9380629.0,1333349359.0,1372.0,3663125.0,4604224.0,0.0,514.0,0.0,63090633.0
3398,1565.4076147747,1717.2671962081,15000.0,983626572.0,190726112.0,1065066.0,1038539.0,836.0,4797185.0,435333054.0,4983915.0,301023028.0,910.0,1961668.0,2420707.0,0.0,56.0,0.0,16742650.0
3399,6595.2998151078,1663.9582034582,15000.0,852886899.0,172403648.0,939269.0,918443.0,1659.0,4910148.0,428287425.0,5609380.0,294178589.0,1213.0,2114323.0,2596893.0,0.0,48.0,0.0,16476189.0
3400,6600.6226401213,1223.03737625,15000.0,942794922.0,187313794.0,1006898.0,1037310.0,3830.0,4542072.0,429726991.0,4753809.0,292060628.0,560.0,2060242.0,2569988.0,0.0,83.0,0.0,16525151.0
3401,6599.2512849527,1331.576193592,15000.0,991186498.0,193871657.0,1068659.0,1068240.0,784.0,4915613.0,443173165.0,5266186.0,286762346.0,2095.0,2518446.0,2695687.0,0.0,78.0,0.0,17040361.0
3402,6602.2708285753,1278.8113778626,15000.0,958582254.0,185859544.0,1040240.0,1019228.0,894.0,4678604.0,424782793.0,5052614.0,282154127.0,861.0,2103409.0,2603173.0,0.0,55.0,0.0,16338164.0
3403,6600.4475331674,1271.8345456121,15000.0,931154012.0,185269315.0,1014285.0,1060958.0,885.0,4828683.0,434052939.0,4826236.0,293666777.0,8462.0,2142647.0,2642459.0,0.0,84.0,0.0,16694107.0
3404,6590.8370211012,1249.7150823257,15000.0,945897187.0,183383825.0,984162.0,1008861.0,1870.0,4793543.0,435179751.0,4843880.0,294681482.0,4011.0,2107921.0,2644827.0,0.0,91.0,0.0,16730766.0
3405,6599.8219369717,1296.0331178623,13.344,873695012.0,176051439.0,960843.0,989116.0,6218.0,4606659.0,424889766.0,4830588.0,287873835.0,882.0,2108920.0,2617060.0,0.0,72.0,0.0,16344440.0
3406,6595.6737930863,1283.4111958269,15000.0,977436101.0,189484142.0,1065212.0,1039401.0,865.0,4832116.0,435300565.0,4945465.0,295308545.0,861.0,2166729.0,2672488.0,0.0,50.0,0.0,16741223.0
3407,6605.040040769,1299.5230695111,6.95,3545199071.0,692104839.0,2789424.0,2772851.0,4122.0,5468738.0,1130225705.0,6288932.0,1091319805.0,927.0,2775550.0,3788643.0,0.0,36.0,0.0,43475007.0
3408,5902.4428266668,1078.4319695642,5.497,8380663018.0,1652092892.0,6609276.0,6609470.0,710.0,11388084.0,2592524072.0,11581894.0,2590825407.0,445.0,4779548.0,6592742.0,0.0,0.0,0.0,99709910.0
3409,1655.8319393653,1471.2760805649,5.328,8383987377.0,1643166569.0,6886420.0,6887460.0,606.0,11549804.0,2592737973.0,11574106.0,2580617137.0,288.0,4762147.0,6661126.0,0.0,0.0,0.0,99716879.0
3410,1656.1184014158,1656.1186949649,4.909,8447929613.0,1653769315.0,6611248.0,6611818.0,275.0,11464720.0,2592618708.0,11576966.0,2593777670.0,1102.0,4754421.0,6631321.0,0.0,0.0,0.0,99714812.0
3411,1656.4077230018,1656.4059473945,6.8,8446991999.0,1645179209.0,6890255.0,6896084.0,512.0,11546306.0,2592669486.0,11555240.0,2580300110.0,724.0,4782220.0,6688931.0,0.0,0.0,0.0,99715019.0
