,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-09,23:17:21.291,   85.49,  144.97,  311.52,  265.25,,,,,  397.01,  410.23,2133040737,  807.23,  176.06,    5.06,  172.76,    1.67,,,,,  348.81,    6.73,2132981819,  355.55,    745.82,    416.96,   1162.78
2024-03-09,23:17:22.291,   82.85,  141.71,  303.17,  258.96,,,,,  386.02,  400.67,2132824098,  786.68,  170.89,    4.69,  167.93,    1.29,,,,,  338.81,    5.98,2132832799,  344.79,    724.83,    406.65,   1131.48
2024-03-09,23:17:23.291,   84.38,  143.05,  308.29,  262.14,,,,,  392.68,  405.19,2133093663,  797.87,  171.07,    5.17,  167.82,    1.76,,,,,  338.89,    6.92,2133116013,  345.82,    731.57,    412.11,   1143.68
2024-03-09,23:17:24.292,   82.60,  140.78,  301.87,  257.48,,,,,  384.47,  398.26,2134674352,  782.73,  171.54,    5.66,  168.01,    2.31,,,,,  339.55,    7.97,2134652514,  347.52,    724.03,    406.23,   1130.25
2024-03-09,23:17:25.292,   83.65,  141.61,  305.92,  259.86,,,,,  389.57,  401.48,2132443677,  791.05,  170.25,    5.17,  166.98,    1.74,,,,,  337.24,    6.91,2132400416,  344.15,    726.80,    408.39,   1135.19
2024-03-09,23:17:26.292,   83.03,  140.72,  303.25,  257.79,,,,,  386.28,  398.52,2132401463,  784.80,  167.67,    4.75,  164.40,    1.36,,,,,  332.07,    6.11,2132403253,  338.18,    718.34,    404.63,   1122.97
2024-03-09,23:17:27.292,   84.70,  141.66,  309.19,  260.68,,,,,  393.90,  402.34,2134521911,  796.24,  167.71,    5.30,  164.99,    1.90,,,,,  332.70,    7.19,2134530329,  339.89,    726.59,    409.53,   1136.12
2024-03-09,23:17:28.292,   82.82,  139.84,  302.42,  256.32,,,,,  385.24,  396.16,2132401565,  781.40,  166.48,    4.78,  163.52,    1.37,,,,,  329.99,    6.15,2132413110,  336.14,    715.23,    402.31,   1117.54
2024-03-09,23:17:29.293,   95.68,  157.10,  344.23,  287.66,,,,,  439.90,  444.76,2134624455,  884.67,  206.71,   21.50,  203.69,   18.24,,,,,  410.40,   39.74,2134586263,  450.14,    850.30,    484.50,   1334.81
2024-03-09,23:17:30.293,   83.03,  141.71,  303.14,  258.60,,,,,  386.17,  400.32,2132584505,  786.49,  187.43,    7.36,  183.84,    3.97,,,,,  371.26,   11.33,2132622280,  382.59,    757.44,    411.65,   1169.08
2024-03-09,23:17:31.292,   84.61,  142.79,  309.13,  262.02,,,,,  393.74,  404.80,2132500450,  798.55,  178.88,    5.50,  175.45,    2.13,,,,,  354.33,    7.63,2132502157,  361.96,    748.08,    412.43,   1160.51
2024-03-09,23:17:32.293,   82.47,  140.15,  301.97,  257.12,,,,,  384.45,  397.27,2134564745,  781.71,  174.56,    5.11,  171.60,    1.72,,,,,  346.16,    6.83,2134511167,  352.99,    730.61,    404.10,   1134.71
2024-03-09,23:17:33.293,   83.87,  141.39,  306.83,  259.70,,,,,  390.71,  401.09,2132376232,  791.80,  170.54,    4.67,  167.92,    1.27,,,,,  338.46,    5.94,2132376903,  344.40,    729.17,    407.03,   1136.20
2024-03-09,23:17:34.294,   83.08,  140.45,  303.63,  257.49,,,,,  386.71,  397.93,2134486450,  784.64,  167.62,    4.63,  165.32,    1.24,,,,,  332.94,    5.88,2134467983,  338.81,    719.65,    403.81,   1123.45
2024-03-09,23:17:35.293,   83.96,  141.12,  307.19,  259.38,,,,,  391.15,  400.51,2132620000,  791.66,  166.87,    5.15,  164.00,    1.76,,,,,  330.86,    6.91,2132629053,  337.77,    722.01,    407.42,   1129.43
2024-03-09,23:17:36.294,   82.77,  139.55,  302.88,  256.28,,,,,  385.65,  395.83,2132627171,  781.47,  167.60,    5.46,  164.92,    2.06,,,,,  332.53,    7.52,2132614545,  340.05,    718.17,    403.35,   1121.52
2024-03-09,23:17:37.294,   83.29,  140.35,  305.32,  258.14,,,,,  388.61,  398.48,2134500484,  787.10,  165.77,    4.78,  162.92,    1.38,,,,,  328.69,    6.15,2134765363,  334.84,    717.30,    404.64,   1121.94
2024-03-09,23:17:38.294,   81.98,  138.67,  299.91,  254.66,,,,,  381.90,  393.34,2132625784,  775.24,  163.44,    4.58,  160.51,    1.19,,,,,  323.96,    5.77,2132363329,  329.73,    705.86,    399.11,   1104.96
