skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total
4703790,1464834,1856946,76235488,4246956,0,160944,5605558,66486,4813004,7168700,0,14770,86478
6931904,1034950,1851402,64381730,4239438,0,546756,5605586,66724,4684162,7216734,0,14630,86394
2564716,2329656,1598100,71233820,4245388,0,549388,5608582,66472,4631074,7272776,0,14602,86870
1049622,2331406,1490426,78419558,4239214,224,538930,5605138,67522,4758824,7148148,0,14728,86912
6007134,1127980,1617070,12455030,2282084,644,311948,5603528,35882,4444790,5632774,0,7826,46032
3627470,976584,1660596,3959200,2284324,280,23758,2988608,35924,4562208,5547220,0,7952,46676
3617208,1208578,1510712,40844272,2289742,140,15456,2987404,35364,4559660,18444202,0,7910,46382
3624292,1310512,1147020,55619662,2279858,140,336140,2988748,34300,4567248,5601288,0,7882,46606
1436008,1352694,1535884,54254326,2284632,140,15610,2987950,36596,4678226,5591096,0,7952,46858
495544,1272320,1769810,8543906,2281566,140,334936,2991912,37016,4617956,5742758,0,7868,47264
3622374,1257984,9816100,61428262,2282084,3444,268576,2989644,35882,459242,5886706,0,7882,47012
2219840,1026774,1796046,31879484,2282098,196,203350,2992892,36876,4685912,6062756,0,7966,46956
1225532,1006152,1677802,9777390,2276540,140,15526,2991324,35588,4506068,5762540,0,7882,46634
3623186,985124,1620276,4222610,2282378,140,15400,2993438,36022,4527852,5997026,0,7840,46270
2715664,1168174,1927730,34098498,2281174,392,17080,2991142,35882,4857986,6001744,0,7882,46942
498358,1339562,1472828,31107608,2284632,168,14854,2992066,36596,4715116,6574554,0,7882,47068
2143050,1198876,1195726,11061400,2303630,140,15582,2990540,36008,4634966,6371708,0,7952,46956
1101828,1005368,1676066,44853354,2279088,420,199612,2998086,36526,4735234,5792108,0,7882,47124
1048446,1137640,2079616,8579802,2279452,196,341894,2990778,35210,4908470,5564482,0,7924,46956
487466,999852,1535674,4122706,2279844,140,344316,2992472,36638,4567612,5636134,0,7924,47544
2289322,779604,2136820,27565706,2283260,0,121604,2988426,35112,4600834,5725650,0,7868,46424
3628506,956256,1851570,19599566,2282532,0,16940,2991212,35686,4622506,5773180,0,7840,47110
4024090,1188684,2165072,38982678,2282602,0,29960,2994236,36204,4912880,5786480,0,7868,46956
496314,1327550,1455244,55196400,2104816,0,250082,2989672,37100,4680970,5742520,0,7938,47250
2567670,2794680,1699726,105059766,7708470,0,759444,5844538,120386,4764802,9923410,0,26810,158550
1556450,3428810,1859200,35755132,7752654,84,757708,10225278,120106,4694718,9953958,0,26964,158564
2314494,2967846,1746878,7682304,7772324,0,49854,10147354,119882,4880092,9909494,0,26726,157136
8286096,3087252,1883952,9660126,7738612,0,52696,10097766,120708,4721206,10078992,0,26978,158900
7941528,3060260,1802724,75506676,7325416,0,89558,10146052,120120,4871860,10339042,0,26642,157416
1520918,3140620,1671782,125270670,7732382,0,555800,10248490,121478,4796260,10273606,0,26838,158382
1533616,2779532,1823654,65441544,7739620,0,526414,10246852,120834,4771424,10348086,0,26586,157430
11779222,3483914,1789130,116266206,7717682,140,743708,10239502,120736,18531954,36822800,0,26838,158312
11760014,3645978,1709232,124871656,7727594,140,495208,10242260,121030,4541950,9808988,0,26656,156688
11771844,3691002,1711472,126519134,7740502,140,196322,10227420,121128,4551204,10499328,0,26768,156604
11766636,3685066,1705284,126316386,7706846,140,743470,10225236,119574,4502456,10658732,0,26530,156604
2033766,3670492,1711962,125710438,7645834,140,742798,10240832,121660,4267102,9983008,0,26726,156310
10190656,3140410,1719158,125527122,7677754,112,739340,10219860,121198,4540956,9969932,0,26614,156156
11328716,3484824,1773772,124515020,7693084,182,729722,10228148,121184,4602724,10011834,0,26838,156128
11873652,3723944,1843688,123644822,7679910,140,740180,10307472,121646,4520880,9927498,0,26712,157724
11853170,3699934,1747774,125100458,7706188,140,52066,10304658,121100,4491326,10057278,0,26656,155092
11874562,3732092,1909096,124709606,7702072,140,744450,10303090,121996,4627266,10037944,0,26670,157416
6197884,3701068,1794100,124342218,7725564,140,731304,10300584,121366,4545100,9983792,0,26810,155540
11860870,3699206,1755250,123752902,7712306,112,730198,10316320,121268,4592168,10072720,0,26642,155260
11879630,3648078,1657418,124360922,7698516,0,737240,10308186,120498,4634616,9788926,0,26950,159866
16335634,4672318,1865654,68049156,10858106,0,838726,14555548,165592,4596858,12246640,0,37702,219058
16297778,4666438,1708742,148190966,10820236,0,837242,14537418,166082,4518500,12291496,0,37408,218708
16284184,4669042,1923642,147559188,10894100,0,843752,14551600,167230,4665234,12728478,0,37548,218120
16178778,4595094,3927098,141262212,10922506,0,824642,14402052,169078,8688890,12813766,0,37576,219856
16137282,4709040,1897784,147211414,10922282,0,385280,14403438,166894,4624144,12509476,0,38052,221130
16191630,4719106,1825250,150472336,10915842,0,368550,14423598,166194,4597418,12824406,0,38234,218456
16113902,4707318,1770314,149421482,10926930,0,819840,14425208,166348,4680956,12903226,0,38066,216958
1977416,4773258,2101862,111780396,10995404,140,147084,14404614,167062,5050682,32465160,0,37912,212702
