,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-10-29,23:27:35.574,   59.23,  117.67,  243.33,  229.73,,,,,  302.56,  347.40,2134245085,  649.96,   49.39,    3.95,   44.74,    0.58,,,,,   94.13,    4.53,2125876931,   98.66,    396.69,    351.93,    748.63
2023-10-29,23:27:36.578,   58.26,  116.36,  238.88,  226.66,,,,,  297.14,  343.02,2134495214,  640.16,   50.00,    3.99,   44.02,    0.61,,,,,   94.02,    4.60,2142339046,   98.63,    391.16,    347.63,    738.79
2023-10-29,23:27:37.575,   63.77,  119.23,  257.16,  234.70,,,,,  320.93,  353.93,2132138316,  674.86,   56.88,    7.04,   48.98,    3.74,,,,,  105.86,   10.78,2124610210,  116.64,    426.79,    364.71,    791.49
2023-10-29,23:27:38.585,   73.96,  118.88,  295.79,  246.99,,,,,  369.75,  365.87,2134401252,  735.62,  141.83,    9.59,  142.32,    6.16,,,,,  284.15,   15.75,2155766265,  299.90,    653.90,    381.62,   1035.52
2023-10-29,23:27:39.575,   56.81,  111.37,  233.36,  219.91,,,,,  290.17,  331.28,2132831173,  621.45,   80.49,    4.54,   80.45,    1.20,,,,,  160.94,    5.73,2111226239,  166.68,    451.11,    337.02,    788.13
2023-10-29,23:27:40.579,   55.50,  109.26,  228.03,  215.54,,,,,  283.52,  324.80,2132396889,  608.33,   68.54,    4.34,   65.48,    0.96,,,,,  134.02,    5.30,2142521439,  139.32,    417.55,    330.11,    747.65
2023-10-29,23:27:41.575,   55.06,  108.63,  226.59,  214.42,,,,,  281.65,  323.05,2133935385,  604.70,   58.02,    3.90,   54.50,    0.53,,,,,  112.52,    4.43,2123810007,  116.95,    394.17,    327.48,    721.64
2023-10-29,23:27:42.579,   53.78,  106.84,  221.06,  210.36,,,,,  274.84,  317.20,2132385608,  592.04,   52.85,    3.80,   50.56,    0.40,,,,,  103.41,    4.19,2141223525,  107.60,    378.25,    321.39,    699.64
2023-10-29,23:27:43.575,   53.81,  105.98,  220.29,  208.95,,,,,  274.10,  314.93,2134776990,  589.03,   49.52,    3.98,   45.42,    0.61,,,,,   94.94,    4.60,2125900352,   99.54,    369.03,    319.53,    688.57
2023-10-29,23:27:44.578,   52.60,  103.54,  215.82,  204.96,,,,,  268.42,  308.50,2132300169,  576.92,   50.76,    3.92,   45.15,    0.54,,,,,   95.92,    4.46,2138713966,  100.38,    364.34,    312.96,    677.30
2023-10-29,23:27:45.576,   52.35,  102.33,  215.10,  203.50,,,,,  267.45,  305.83,2134449676,  573.28,   48.79,    4.08,   46.85,    0.71,,,,,   95.64,    4.79,2127985839,  100.43,    363.09,    310.62,    673.71
2023-10-29,23:27:46.578,   51.73,  100.89,  213.07,  201.42,,,,,  264.81,  302.30,2132150943,  567.11,   53.96,    4.40,   46.69,    1.02,,,,,  100.65,    5.42,2137525514,  106.07,    365.46,    307.72,    673.18
2023-10-29,23:27:47.575,   51.23,  100.16,  211.13,  199.96,,,,,  262.36,  300.12,2133347154,  562.48,   58.12,    4.26,   50.07,    0.91,,,,,  108.19,    5.17,2128029414,  113.35,    370.55,    305.29,    675.83
2023-10-29,23:27:48.584,   65.26,  103.65,  256.07,  217.23,,,,,  321.33,  320.87,2134798170,  642.20,  164.90,   22.97,  161.85,   19.53,,,,,  326.75,   42.50,2150476456,  369.25,    648.08,    363.37,   1011.45
2023-10-29,23:27:49.576,   50.31,   97.86,  206.27,  194.97,,,,,  256.59,  292.83,2133274665,  549.42,   90.56,    4.41,   84.26,    1.08,,,,,  174.82,    5.49,2117615828,  180.31,    431.40,    298.32,    729.73
2023-10-29,23:27:50.579,   48.84,   96.46,  200.28,  190.72,,,,,  249.12,  287.17,2132358070,  536.30,   68.69,    4.10,   61.60,    0.72,,,,,  130.30,    4.81,2137674325,  135.11,    379.42,    291.99,    671.41
2023-10-29,23:27:51.576,   49.07,   95.43,  200.77,  189.50,,,,,  249.83,  284.93,2133306072,  534.76,   66.32,    4.78,   56.75,    1.43,,,,,  123.07,    6.22,2128007716,  129.28,    372.90,    291.14,    664.04
2023-10-29,23:27:52.578,   48.14,   94.73,  196.36,  186.94,,,,,  244.50,  281.67,2132378635,  526.17,   62.11,    4.01,   54.50,    0.65,,,,,  116.62,    4.66,2134843340,  121.28,    361.12,    286.33,    647.45
2023-10-29,23:27:53.577,   47.66,   93.43,  193.66,  184.48,,,,,  241.32,  277.91,2134799677,  519.23,   54.02,    4.05,   46.07,    0.66,,,,,  100.09,    4.71,2132289805,  104.80,    341.42,    282.61,    624.03
2023-10-29,23:27:54.578,   47.18,   92.29,  190.34,  181.88,,,,,  237.52,  274.17,2132294062,  511.69,   50.45,    4.04,   45.13,    0.67,,,,,   95.58,    4.71,2134854441,  100.29,    333.10,    278.87,    611.97
2023-10-29,23:27:55.577,   46.92,   91.44,  189.55,  180.70,,,,,  236.47,  272.14,2134893506,  508.61,   49.53,    4.01,   44.81,    0.63,,,,,   94.35,    4.65,2132332888,   98.99,    330.81,    276.79,    607.60
2023-10-29,23:27:56.578,   46.34,   90.54,  187.69,  179.20,,,,,  234.03,  269.75,2132319045,  503.77,   50.17,    4.07,   41.92,    0.69,,,,,   92.09,    4.75,2133491601,   96.85,    326.12,    274.50,    600.62
2023-10-29,23:27:57.577,   45.44,   89.20,  184.81,  176.69,,,,,  230.25,  265.89,2133524821,  496.14,   54.49,    4.27,   44.30,    0.90,,,,,   98.79,    5.17,2132345895,  103.96,    329.05,    271.05,    600.10
2023-10-29,23:27:58.582,   71.46,  100.80,  273.28,  216.56,,,,,  344.74,  317.36,2132702924,  662.10,  119.90,   13.88,  114.61,   10.55,,,,,  234.51,   24.44,2143548929,  258.95,    579.25,    341.79,    921.04
2023-10-29,23:27:59.578,   46.00,   88.52,  185.14,  174.32,,,,,  231.14,  262.84,2134836652,  493.98,  103.86,    4.85,   93.59,    1.50,,,,,  197.45,    6.35,2124052790,  203.80,    428.58,    269.19,    697.77
2023-10-29,23:28:00.579,   44.54,   86.40,  179.45,  170.17,,,,,  223.99,  256.57,2132447198,  480.56,   67.81,    4.02,   54.20,    0.63,,,,,  122.01,    4.64,2135813292,  126.65,    346.00,    261.21,    607.21
2023-10-29,23:28:01.578,   44.34,   85.51,  177.94,  168.88,,,,,  222.28,  254.39,2133607164,  476.67,   57.10,    4.09,   45.74,    0.74,,,,,  102.83,    4.83,2130216006,  107.66,    325.11,    259.21,    584.33
2023-10-29,23:28:02.578,   43.75,   84.82,  175.69,  167.32,,,,,  219.44,  252.14,2132377550,  471.58,   56.22,    4.35,   48.53,    0.97,,,,,  104.74,    5.32,2132510070,  110.07,    324.18,    257.47,    581.65
2023-10-29,23:28:03.579,   43.19,   83.54,  173.70,  165.34,,,,,  216.89,  248.88,2134524605,  465.76,   53.12,    4.06,   46.45,    0.68,,,,,   99.57,    4.74,2134381847,  104.31,    316.46,    253.61,    570.07
2023-10-29,23:28:04.578,   42.31,   82.37,  170.43,  162.82,,,,,  212.74,  245.19,2132348233,  457.93,   47.91,    3.97,   45.03,    0.60,,,,,   92.94,    4.58,2132252030,   97.51,    305.68,    249.76,    555.44
2023-10-29,23:28:05.579,   42.11,   81.29,  169.62,  161.41,,,,,  211.73,  242.69,2134406020,  454.42,   47.74,    4.02,   44.00,    0.64,,,,,   91.74,    4.65,2134504210,   96.40,    303.47,    247.35,    550.82
2023-10-29,23:28:06.579,   41.50,   80.57,  167.33,  159.72,,,,,  208.83,  240.29,2132319266,  449.12,   47.26,    3.85,   42.53,    0.48,,,,,   89.79,    4.32,2132318853,   94.11,    298.62,    244.61,    543.23
2023-10-29,23:28:07.579,   41.06,   79.56,  165.84,  158.38,,,,,  206.91,  237.94,2134412925,  444.85,   46.19,    3.89,   36.18,    0.50,,,,,   82.37,    4.38,2134413383,   86.75,    289.28,    242.32,    531.60
2023-10-29,23:28:08.584,   65.18,   92.67,  252.36,  200.51,,,,,  317.55,  293.18,2132835363,  610.72,   91.33,   14.63,   88.12,   11.27,,,,,  179.45,   25.91,2143123674,  205.35,    496.99,    319.08,    816.07
2023-10-29,23:28:09.579,   41.35,   78.26,  167.05,  157.24,,,,,  208.41,  235.50,2132047381,  443.90,  115.28,    4.88,  107.41,    1.54,,,,,  222.69,    6.42,2121739156,  229.11,    431.09,    241.92,    673.01
2023-10-29,23:28:10.580,   41.23,   77.83,  166.61,  156.25,,,,,  207.84,  234.08,2134408945,  441.92,   72.71,    4.62,   61.77,    1.24,,,,,  134.48,    5.86,2138310947,  140.34,    342.32,    239.94,    582.26
2023-10-29,23:28:11.579,   39.56,   75.77,  160.88,  151.66,,,,,  200.44,  227.43,2134142821,  427.88,   64.05,    4.10,   56.07,    0.73,,,,,  120.12,    4.83,2130298828,  124.95,    320.56,    232.27,    552.83
